from,age_group,interval,n,obs_H,obs_C,obs_D,obs_L,obs_N,obs_X,exp_H,exp_C,exp_D,exp_L,exp_N,exp_X,pearson_x2,cells
D,65-74,up to 2.25 years,4862,49,1840,1814,527,44,588,30.50644644298852,1727.315821103473,2125.775406374038,547.54221652201,53.46531142789678,377.3947981295939,184.26322487833284,6
D,75-84,over 2.25 years,1769,10,550,652,289,102,166,9.334610030671632,574.1726480868591,517.756986709049,241.7205025596055,82.85828926282394,343.1569633509911,140.99950764258466,6
D,75-84,up to 2.25 years,4773,34,1420,1683,562,123,951,21.697710726407706,1301.9619586004608,2030.3419161396096,635.2999753655007,180.97108446554665,602.7273547024748,305.3674138273724,6
D,85+,over 2.25 years,1031,6,182,311,205,134,193,4.04912090250024,194.30061831639574,228.35765104435228,151.91794648423587,100.12693460394284,352.2477286485731,133.62799049562014,6
D,85+,up to 2.25 years,2997,21,518,844,363,232,1019,10.909334728265533,513.4688587350952,1134.398960762052,453.71515044106536,263.1051624114043,621.4025329221178,359.9268218334692,6
L,50-64,over 2.25 years,772,1,133,248,338,18,34,6.166868466581876,162.0481045161796,231.59800672930677,277.8310512823565,12.078123887558714,82.27784511801669,54.95955047307907,6
L,50-64,up to 2.25 years,2210,12,267,711,962,16,242,10.401472912904222,260.08835541043794,641.4884969818394,1108.5402057000656,29.44477374023508,160.0366952545178,75.44981858185896,6
L,65-74,over 2.25 years,533,2,64,140,250,34,43,1.526226767238394,85.52524473743688,125.61838656793313,186.39688874531225,22.989981893100595,110.94327128897882,75.79622138765795,6
L,65-74,up to 2.25 years,1705,1,152,399,719,64,370,2.6128374569181227,141.49002772976317,377.89762800034185,872.8651474788578,65.27104130965387,244.86331802446523,94.05285296402207,6
L,75-84,over 2.25 years,592,0,51,117,283,72,69,0.8022984452198682,48.1473232226558,95.23118175826485,200.16348557766565,45.47524093679868,202.18047005939525,143.42892793239508,6
L,75-84,up to 2.25 years,1985,3,92,303,740,85,762,1.4178380581180778,83.69733876502602,284.745580126934,1054.1510612846153,123.8049939758526,437.1831877894541,350.87473609216664,6
L,85+,over 2.25 years,421,0,17,69,174,69,92,0.3072471729143443,14.739446510411987,37.633674521182165,112.59289617985127,37.561314807445726,218.1654208081946,159.25600070842728,5
L,85+,up to 2.25 years,1882,1,41,149,557,138,996,0.7255762376870267,33.77308280305802,156.5796612375349,936.1537665734531,141.39261803309952,613.3752951151674,394.34252346690783,6
N,50-64,over 2.25 years,40,0,4,3,6,24,3,0.12618657727161717,3.1749075306643313,5.1369642595293765,3.852456283923011,17.92432831421678,9.785157034394887,9.064881055284129,5
N,50-64,up to 2.25 years,145,0,18,9,11,64,43,0.22300853290779127,5.31249543609799,14.980893099907197,10.917935482841507,88.93172395879142,24.633943489454087,53.37168668357654,5
N,65-74,over 2.25 years,84,1,5,3,8,56,11,0.06628836774217788,3.564310508157906,5.82621411865256,3.922810731476973,36.47570494515264,34.14467132881775,32.32604529946567,5
