parameter,estimate,se,z,hazard_ratio,hr_lo,hr_hi,transition,term,lr_test_vs_base
q23:intercept,-1.9237099243567644,0.03480510930430707,-55.2709059907681,,,,D to L,intercept,
q23:age_per_10y,0.4383897688474742,0.01404011378748219,31.224089454198825,1.550209012861407,1.5081310150582385,1.5934610186794265,D to L,age_per_10y,
q23:female,0.014981660310833032,0.030279434895768443,0.49478004997136593,1.0150944479283572,0.9566037457191445,1.077161513140785,D to L,female,
q23:college,-0.07127842709032817,0.03087968014149513,-2.3082631284948603,0.9312025840040937,0.876514001720055,0.9893033662374419,D to L,college,
q23:nonwhite,0.16521323763007933,0.03128504809505279,5.280900867664163,1.1796446365205342,1.1094834463538275,1.254242659541112,D to L,nonwhite,
q24:intercept,-2.870086709017836,0.07582090836783958,-37.85349939483474,,,,D to X,intercept,
q24:age_per_10y,0.35250500656197875,0.03640573970297977,9.682676672357974,1.422626778199937,1.3246519646473014,1.5278480718445941,D to X,age_per_10y,
q24:female,-0.43828132989893726,0.08492745889381521,-5.160655170984455,0.6451442589552695,0.5462168890992293,0.7619887322585739,D to X,female,
q24:college,-0.3634650971812393,0.09594128059946534,-3.7884119839783,0.6952629934309288,0.5760792694649666,0.8391043657646013,D to X,college,
q24:nonwhite,-0.4520707157149134,0.10438528960907309,-4.330789495415835,0.6363091710761114,0.5185774530736205,0.7807693118853883,D to X,nonwhite,
q32:intercept,-1.2172231654162367,0.04390825656985999,-27.72196530918007,,,,L to D,intercept,
q32:age_per_10y,-0.3932772450040957,0.017366193970799526,-22.64613914052634,0.6748416251788188,0.6522580682378862,0.6982071073560037,L to D,age_per_10y,
q32:female,-0.08660462054211196,0.04055395851825693,-2.135540492381861,0.9170396025854608,0.8469696822556961,0.9929064172290144,L to D,female,
q32:college,-0.035386097155510415,0.042602832843832615,-0.8306043235487114,0.9652326707156311,0.8879075519895919,1.0492917945445643,L to D,college,
q32:nonwhite,0.10149201153636231,0.040680647965605686,2.4948474670848624,1.106821076556696,1.0219963716430331,1.1986861494827448,L to D,nonwhite,
q34:intercept,-1.7881062888621726,0.03877363654085961,-46.116548469160705,,,,L to X,intercept,
