parameter,estimate,se,se_model,se_type,z,hazard_ratio,hr_lo,hr_hi,transition,term,extension,loglik,lr_test_vs_full,df
q34:high_income,-0.1672493447613312,0.1774866636640063,0.1774866636640063,observed information,-0.942320630230252,0.8459886422001784,0.5974269837678895,1.1979652780627696,L to N,high_income,income,-165769.7555372503,1789.604817590618,24
q35:low_income,-0.2001757290296819,0.0587362340182909,0.0587362340182909,observed information,-3.4080450062110796,0.8185868909579183,0.7295708840810015,0.9184638705699142,L to X,low_income,income,-165769.7555372503,1789.604817590618,24
q35:high_income,-0.0384159211336146,0.0694029528300694,0.0694029528300694,observed information,-0.5535199810255143,0.9623126114919784,0.8399224534896123,1.1025369763471435,L to X,high_income,income,-165769.7555372503,1789.604817590618,24
q42:low_income,-0.6856920634650279,0.1869801493151542,0.1869801493151542,observed information,-3.6671917632780193,0.5037414878334875,0.3491781054601838,0.7267222159598746,N to D,low_income,income,-165769.7555372503,1789.604817590618,24
q42:high_income,0.4648192709879494,0.1918459862640731,0.1918459862640731,observed information,2.422877225839548,1.5917264917339673,1.0928633056349977,2.3183075243025058,N to D,high_income,income,-165769.7555372503,1789.604817590618,24
q43:low_income,-0.131945910561176,0.3097047313666577,0.3097047313666577,observed information,-0.4260377617704714,0.8763883971539799,0.4776069409462437,1.6081353866935726,N to L,low_income,income,-165769.7555372503,1789.604817590618,24
q43:high_income,0.2470806048308794,0.4327218888334578,0.4327218888334578,observed information,0.570991695143884,1.2802823055580133,0.5482333303840166,2.98982694243854,N to L,high_income,income,-165769.7555372503,1789.604817590618,24
q45:low_income,-0.028115227103202,0.0476117175231407,0.0476117175231407,observed information,-0.5905106676636313,0.972276327761644,0.8856493329596452,1.067376468705297,N to X,low_income,income,-165769.7555372503,1789.604817590618,24
q45:high_income,0.0363151353715526,0.0630396942981112,0.0630396942981112,observed information,0.5760677581940729,1.0369825848969902,0.916454676758499,1.1733617697092202,N to X,high_income,income,-165769.7555372503,1789.604817590618,24
q01:same_state_prev,-0.0418715110386046,0.0343157841724226,0.0343157841724226,observed information,-1.220182258642776,0.9589929926702314,0.8966134484232477,1.0257124311573742,H to C,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q02:same_state_prev,-0.748060304313312,0.1115712687533923,0.1115712687533923,observed information,-6.704775455827799,0.4732836893012628,0.3803208687660794,0.5889696541905681,H to D,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q05:same_state_prev,0.1342507083160303,0.2846129907999585,0.2846129907999585,observed information,0.4716956451590399,1.1436795136698077,0.6546917573024215,1.9978910921033677,H to X,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q12:same_state_prev,-0.902577845379505,0.0237642334364737,0.0237642334364737,observed information,-37.98051587871596,0.4055229357477425,0.3870676701711157,0.4248581426208183,C to D,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q13:same_state_prev,-2.9447094613458686,0.7305696956414537,0.7305696956414537,observed information,-4.030702996461357,0.0526173449682936,0.0125676897404502,0.220293868538262,C to L,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q14:same_state_prev,-0.3864527408558854,0.1258701973706539,0.1258701973706539,observed information,-3.0702481518948113,0.6794628354479442,0.5309123550840588,0.8695780769348725,C to N,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q15:same_state_prev,-0.2604963718618872,0.0444095638365826,0.0444095638365826,observed information,-5.865771904908956,0.7706689524643776,0.7064243801996184,0.8407561388590676,C to X,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q20:same_state_prev,-1.2978326886408384,0.1442906548578261,0.1442906548578261,observed information,-8.994572031845244,0.2731230948208704,0.2058428280235843,0.3623940928171826,D to H,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q21:same_state_prev,-0.7399469279702858,0.0270306498146795,0.0270306498146795,observed information,-27.374366988707855,0.477139237596877,0.4525183330627546,0.5030997319239158,D to C,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q23:same_state_prev,-0.1056888104873892,0.0376342289068382,0.0376342289068382,observed information,-2.8083160877034845,0.8997045831479592,0.8357281492150629,0.9685785236475716,D to L,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q24:same_state_prev,-0.0973780887284717,0.1239048118340678,0.1239048118340678,observed information,-0.7859104685851874,0.907212934296781,0.7116055528266133,1.1565892155930275,D to N,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q25:same_state_prev,-0.0250775923230133,0.0753125461950824,0.0753125461950824,observed information,-0.3329802747347672,0.9752342384024846,0.8413982540634429,1.130358679922767,D to X,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q32:same_state_prev,-0.8967402812498625,0.0485190010324796,0.0485190010324796,observed information,-18.48224947272853,0.4078971248897667,0.3708945371331582,0.4485913051709476,L to D,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q34:same_state_prev,-0.306895608195314,0.1029773867372687,0.1029773867372687,observed information,-2.9802233084270413,0.7357274008096708,0.6012579193334396,0.9002705675831078,L to N,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q35:same_state_prev,-0.0016809497884998,0.0487351907265574,0.0487351907265574,observed information,-0.0344914991290652,0.9983204622163152,0.9073727676466318,1.0983840168189083,L to X,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q42:same_state_prev,-1.533077943191689,0.2224747876138488,0.2224747876138488,observed information,-6.8910187964879155,0.215870207482182,0.1395784420834953,0.3338620619545561,N to D,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q43:same_state_prev,-0.0284455339291588,0.262387487096902,0.262387487096902,observed information,-0.1084104057090711,0.971955231286966,0.58116242003659,1.6255300395483618,N to L,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
q45:same_state_prev,0.0340052703939583,0.0424768591104392,0.0424768591104392,observed information,0.8005599073496723,1.0345900594109474,0.9519437105975044,1.124411642322955,N to X,same_state_prev,duration,-165141.38922788406,3046.3374363231123,12
