parameter,estimate,se,se_model,se_type,z,hazard_ratio,hr_lo,hr_hi,transition,term,extension,loglik,lr_test_vs_full,df
q23:low_income,0.1293501507404064,0.04704838537174815,0.04704838537174815,observed information,2.7493005279216067,1.138088556956759,1.0378334461972165,1.2480283500420029,D to L,low_income,income,-165769.7555372503,1789.604817590618,24
q23:high_income,-0.07159601758443476,0.05672257388931259,0.05672257388931259,observed information,-1.2622138361377244,0.9309068898726346,0.832957829949154,1.0403739618670014,D to L,high_income,income,-165769.7555372503,1789.604817590618,24
q24:low_income,0.0031776778447114543,0.14900882189264217,0.14900882189264217,observed information,0.021325434322277285,1.0031827320150442,0.749102382114395,1.3434419884937507,D to N,low_income,income,-165769.7555372503,1789.604817590618,24
q24:high_income,-0.26154668343234255,0.17407300709932833,0.17407300709932833,observed information,-1.5025114335107719,0.7698599348812504,0.5473155454482425,1.0828932674476919,D to N,high_income,income,-165769.7555372503,1789.604817590618,24
q25:low_income,0.2614425695846003,0.0889366967730961,0.0889366967730961,observed information,2.9396478514557147,1.2988023486715783,1.0910348438871151,1.5461353506408668,D to X,low_income,income,-165769.7555372503,1789.604817590618,24
q25:high_income,0.007497612109931207,0.11065177120744475,0.11065177120744475,observed information,0.06775862716083447,1.0075257895808345,0.8110870780220617,1.2515403637621174,D to X,high_income,income,-165769.7555372503,1789.604817590618,24
q32:low_income,0.005877468021048207,0.052374447389339905,0.052374447389339905,observed information,0.11222014386818112,1.005894774225158,0.907758913990486,1.1146398908555213,L to D,low_income,income,-165769.7555372503,1789.604817590618,24
q32:high_income,0.021120511069940215,0.07878601679934004,0.07878601679934004,observed information,0.2680743605014581,1.021345127615478,0.8752024203318854,1.1918909791272123,L to D,high_income,income,-165769.7555372503,1789.604817590618,24
q34:low_income,0.32032942884933546,0.13057890860253143,0.13057890860253143,observed information,2.4531483091529336,1.3775815046842272,1.0665133409949776,1.7793783997841206,L to N,low_income,income,-165769.7555372503,1789.604817590618,24
q34:high_income,-0.16724934476133121,0.1774866636640063,0.1774866636640063,observed information,-0.9423206302302521,0.8459886422001784,0.5974269837678895,1.1979652780627696,L to N,high_income,income,-165769.7555372503,1789.604817590618,24
q35:low_income,-0.20017572902968195,0.05873623401829099,0.05873623401829099,observed information,-3.4080450062110796,0.8185868909579183,0.7295708840810015,0.9184638705699142,L to X,low_income,income,-165769.7555372503,1789.604817590618,24
q35:high_income,-0.03841592113361469,0.06940295283006942,0.06940295283006942,observed information,-0.5535199810255143,0.9623126114919784,0.8399224534896123,1.1025369763471435,L to X,high_income,income,-165769.7555372503,1789.604817590618,24
q42:low_income,-0.6856920634650279,0.18698014931515425,0.18698014931515425,observed information,-3.6671917632780193,0.5037414878334875,0.34917810546018385,0.7267222159598746,N to D,low_income,income,-165769.7555372503,1789.604817590618,24
q42:high_income,0.46481927098794945,0.1918459862640731,0.1918459862640731,observed information,2.422877225839548,1.5917264917339673,1.0928633056349975,2.3183075243025058,N to D,high_income,income,-165769.7555372503,1789.604817590618,24
q43:low_income,-0.131945910561176,0.30970473136665777,0.30970473136665777,observed information,-0.4260377617704714,0.8763883971539799,0.47760694094624373,1.6081353866935726,N to L,low_income,income,-165769.7555372503,1789.604817590618,24
q43:high_income,0.24708060483087943,0.4327218888334578,0.4327218888334578,observed information,0.570991695143884,1.2802823055580133,0.5482333303840166,2.98982694243854,N to L,high_income,income,-165769.7555372503,1789.604817590618,24
q45:low_income,-0.028115227103202075,0.04761171752314078,0.04761171752314078,observed information,-0.5905106676636313,0.972276327761644,0.8856493329596452,1.0673764687052967,N to X,low_income,income,-165769.7555372503,1789.604817590618,24
q45:high_income,0.03631513537155264,0.06303969429811128,0.06303969429811128,observed information,0.5760677581940729,1.0369825848969902,0.916454676758499,1.1733617697092202,N to X,high_income,income,-165769.7555372503,1789.604817590618,24
