sex,entry_state,scenario,pv_oop_mean,pv_oop_median,var95,cvar95,var99,cvar99,mean_change_vs_s0,cvar95_change_vs_s0
male,Population mix,"S1 Part A payable 89% from 2033, shift 100%",39403.63437632778,33349.271787579746,95302.09082276603,129944.34361220627,150691.99315598005,190346.37014391902,1743.3732199141377,2402.8608343296073
male,Population mix,S2 shortfall on long-term-care state,39403.63432537048,32710.348930671727,97468.300382282,133486.69236397473,155667.5196877282,194797.37625662278,1743.373168956845,5945.209586098063
male,Population mix,S3 real growth 1.7% and shift 50%,47088.51096632591,38551.38048501972,120208.52817679678,164531.4948373401,189693.4555085605,239986.55751982605,9428.249809912275,36990.01205946345
female,H,S0 baseline,44735.768453109085,35152.17428593655,110499.29456874558,158290.81856949418,181042.04994204515,253353.49671449128,0.0,0.0
female,H,"S1 Part A payable 89% from 2033, shift 0%",44735.768453109085,35152.17428593655,110499.29456874558,158290.81856949418,181042.04994204515,253353.49671449128,0.0,0.0
female,H,"S1 Part A payable 89% from 2033, shift 25%",45274.46823018867,35736.98312314841,111141.04671155449,158967.60607991196,181802.95448018282,254048.12526638462,538.699777079586,676.7875104177801
female,H,"S1 Part A payable 89% from 2033, shift 50%",45813.167926446564,36340.13843305978,111825.79675002497,159645.49635758338,182578.40586585563,254743.3478984143,1077.3994733374784,1354.6777880892041
female,H,"S1 Part A payable 89% from 2033, shift 100%",46890.567369439195,37549.400365169204,113099.90915085126,161004.82075121492,183994.97582172177,256135.65361665853,2154.79891633011,2714.0021817207453
female,H,S2 shortfall on long-term-care state,46890.56726972233,36691.26636445061,116188.12602833535,165396.35401485933,189681.3800796355,260880.52190886563,2154.798816613242,7105.535445365153
female,H,S3 real growth 1.7% and shift 50%,59108.436265136545,45506.73237145153,150995.92299081068,215636.22402324897,246233.72593401052,344401.90068839455,14372.66781202746,57345.40545375479
female,C,S0 baseline,49449.82804740126,39377.92123315781,121535.30598830774,173994.94096946676,200696.765055739,277557.6604290212,0.0,0.0
female,C,"S1 Part A payable 89% from 2033, shift 0%",49449.82804740126,39377.92123315781,121535.30598830774,173994.94096946676,200696.765055739,277557.6604290212,0.0,0.0
female,C,"S1 Part A payable 89% from 2033, shift 25%",49981.320704873,39988.843230005295,122162.59258429841,174681.74407682588,201186.8684285446,278243.05202683,531.4926574717392,686.8031073591264
female,C,"S1 Part A payable 89% from 2033, shift 50%",50512.813306365264,40620.998215772015,122894.7251542173,175369.3441740176,201894.17335753466,278929.7963049644,1062.9852589640068,1374.4032045508502
female,C,"S1 Part A payable 89% from 2033, shift 100%",51575.798554331835,41876.224513092246,124296.96352197035,176749.30120126158,203343.9323479396,280306.34203799843,2125.9705069305783,2754.3602317948244
female,C,S2 shortfall on long-term-care state,51575.79846435208,41016.44072960527,126868.11010925905,180293.967430565,208034.03533659742,283805.1970003363,2125.970416950826,6299.026461098256
female,C,S3 real growth 1.7% and shift 50%,63369.68545382549,49600.53053409349,160706.00558607752,229769.506992317,262379.3752191607,362863.98825093533,13919.857406424235,55774.56602285025
female,D,S0 baseline,50377.68096754605,39202.78314871635,131855.1772032154,186309.34415213094,208306.47986531258,296704.5359705235,0.0,0.0
female,D,"S1 Part A payable 89% from 2033, shift 0%",50377.68096754605,39202.78314871635,131855.1772032154,186309.34415213094,208306.47986531258,296704.5359705235,0.0,0.0
female,D,"S1 Part A payable 89% from 2033, shift 25%",50849.35662689511,39799.17483559532,132530.6692400654,186979.7135748617,208876.6456810798,297387.60350678995,471.67565934905724,670.3694227307569
female,D,"S1 Part A payable 89% from 2033, shift 50%",51321.03225282387,40357.41895481522,133288.57135146222,187651.97244864836,209656.24839564975,298071.7631269077,943.3512852778149,1342.6282965174178
female,D,"S1 Part A payable 89% from 2033, shift 100%",52264.38351508272,41511.15013319203,134582.5718258085,189001.29280981576,211154.5826226979,299443.4880319343,1886.7025475366681,2691.948657684814
female,D,S2 shortfall on long-term-care state,52264.38345544533,40718.06748465932,136876.89028778102,191890.51609860698,214986.3138642667,302515.8697017576,1886.7024878992743,5581.171946476039
female,D,S3 real growth 1.7% and shift 50%,63206.822904433786,48383.7798641193,169431.90005174335,238691.68209607896,268784.1170064589,378264.2781149545,12829.141936887732,52382.33794394802
female,L,S0 baseline,51752.39976867361,38550.42531512609,146019.69631145694,197907.97126858865,222409.1090957187,294385.5127626326,0.0,0.0
female,L,"S1 Part A payable 89% from 2033, shift 0%",51752.39976867361,38550.42531512609,146019.69631145694,197907.97126858865,222409.1090957187,294385.5127626326,0.0,0.0
female,L,"S1 Part A payable 89% from 2033, shift 25%",52138.62693814112,39047.10869056823,146705.39005753145,198574.14350230226,223030.55464870032,295072.1790345949,386.22716946750734,666.1722337136162
female,L,"S1 Part A payable 89% from 2033, shift 50%",52524.854109579464,39530.275775057875,147421.94259134927,199241.9964642582,223810.21829858035,295759.18359159137,772.4543409058533,1334.0251956695574
female,L,"S1 Part A payable 89% from 2033, shift 100%",53297.308424530696,40523.28601198965,148775.87797867678,200582.65391278677,225276.41504432977,297134.5210413728,1544.9086558570853,2674.6826441981248
female,L,S2 shortfall on long-term-care state,53297.30834206852,39819.371200713475,149989.19817572576,202614.83719324076,227728.1667395007,299641.7826595287,1544.9085733949105,4706.865924652113
female,L,S3 real growth 1.7% and shift 50%,62774.87605745092,46064.21240325995,180117.68427191584,246961.5216957571,277439.8787795821,371171.42987558845,11022.47628877731,49053.55042716846
female,Population mix,S0 baseline,48974.64898099546,38684.13847441609,122555.38905047147,174866.2686768862,198738.47202421282,282007.8777719965,0.0,0.0
female,Population mix,"S1 Part A payable 89% from 2033, shift 0%",48974.64898099546,38684.13847441609,122555.38905047147,174866.2686768862,198738.47202421282,282007.8777719965,0.0,0.0
female,Population mix,"S1 Part A payable 89% from 2033, shift 25%",49495.67291862239,39301.634962028795,123197.70480224618,175547.4590116548,199413.1102928199,282681.81732431456,521.023937626931,681.1903347686166
female,Population mix,"S1 Part A payable 89% from 2033, shift 50%",50016.696804020175,39890.64015981307,123846.92881557242,176229.6557360299,200025.00841259497,283356.79495360644,1042.0478230247172,1363.3870591437153
female,Population mix,"S1 Part A payable 89% from 2033, shift 100%",51058.74460155388,41146.91890578467,125192.1095452725,177598.17742302065,201386.74962448925,284712.6442384845,2084.0956205584225,2731.9087461344607
female,Population mix,S2 shortfall on long-term-care state,51058.74451801439,40280.75421053011,127869.90731241349,181246.70980276068,205732.6900697985,288304.6673964526,2084.095537018933,6380.441125874495
female,Population mix,S3 real growth 1.7% and shift 50%,62755.84933088007,48780.87961416191,161692.02401178432,230085.71187420626,262047.34505559492,367038.3754443989,13781.20034988461,55219.44319732007
